date,breakfast_max,breakfast,breakfast_menu,lunch_max,lunch,lunch_menu,dinner_max,dinner,dinner_menu
2018-10-02,100,80,"흑미밥,쇠고기우거지국,새송이메추리알조림,건멸치고추장볶음,배추김치",400,390,"크림스파게티,오이피클,야채샐러드,배추김치,오징어먹물피자",400,289,"흑미밥,돈등뼈감자탕,마파두부,잡채,깍두기"
2018-10-03,100,50,"흰밥,조랭이떡국,고기말이,깻잎지,깍두기",400,372,"짜장밥,달걀파국,배추김치,단무지,양념만두",400,237,"흰밥,짬뽕순두부국,돈육고추장불고기,오이무침,배추김치"
2018-10-05,100,68,"흰밥,오징어찌개,달걀말이,숙주베이컨볶음,배추김치",400,335,"흰밥,아욱장국,매콤수육,야채쌈,막국수야채무침,배추김치",400,150,"흰밥,쇠고기무국,어묵커틀릿,통도라지구이,배추김치"
2018-10-06,100,41,"차조밥,콩나물김치국,비엔나케첩볶음,김구이,배추김치",250,181,"차조밥,장각삼계탕,모듬야채,쌈장,청경채무침,깍두기",250,175,"차조밥,감자다시마국,오리불고기,쌈무,양파부추무침,배추김치"
2018-10-07,100,95,"메이플피칸파이,콘프레이크,우유,케이준샐러드,사과",250,183,"콩나물밥,미역장국,모듬장아찌,부추김치전,배추김치",250,160,"흰밥,참치김치찌개,찜닭,얼갈이무침,깍두기"
2018-10-08,100,85,"흰밥,떡국,라운드햄구이,콩나물무침,배추김치",400,286,"흰밥,들깨무채국,돈육김치볶음,김구이,깍두기",400,315,"흰밥,알탕,닭갈비,오이무침,배추김치"
2018-10-09,100,42,"흑미밥,쇠고기무국,달걀찜,진미채고추장볶음,배추김치",400,276,"데미커리,부추달걀국,단무지,배추김치,핫도그,케첩",400,338,"흑미밥,참치김치찌개,돈가스,양상추샐러드,배추김치"
2018-10-10,180,145,"모닝빵,딸기잼,그래놀라,우유,케이준샐러드,사과",400,338,"흰밥,쇠고기미역국,단호박돼지갈비찜,도라지무침,배추김치",400,387,"흰밥,육개장,파채올린바싹불고기,미역줄기초무침,배추김치"
2018-10-11,100,77,"보리밥,닭곰탕,갈치무조림,김파래자반,배추김치",400,385,"보리밥,감자다시마국,오리주물럭,무쌈,파프리카브로콜리초회,배추김치",400,250,"보리밥,부대찌개,생선까스,쫄면야채무침,배추김치"
2018-10-12,100,50,"차조밥,꽃게탕,비엔나소세지볶음,감자조림,배추김치",400,300,"튀김새우우동,단무지,배추김치,불고기퀘사디아,요구르트",350,180,"차조밥,콩가루배추국,쇠고기버섯불고기,깻잎지,배추김치"
2018-10-13,100,56,"흰밥,북어국,베이컨숙주볶음,두부조림,배추김치",250,230,"김치볶음밥,우동국,단무지무침,배추김치,찐만두",250,200,"흰밥,순두부찌개,콩나물당면볶음,미트볼떡조림,배추김치"
2018-10-15,100,92,"흰밥,쇠고기무국,감자스팸조림,바나나,깻잎지",400,374,"오므라이스,우동맛국,배추김치,빨간고치어묵,망고주스",400,309,"흰밥,조랭이떡국,닭볶음탕,미역줄기양파볶음,배추김치"
2018-10-16,100,92,"흑미밥,배추장국,동그랑땡달걀전,케첩,진미채고추장볶음,배추김치",400,368,"흑미밥,설렁탕,소면사리,콩나물무침,김치전,깍두기",400,347,"흑미밥,짬뽕순두부국,멘츠카츠,야채샐러드,골뱅이야채무침,배추김치"
2018-10-17,100,98,"차조밥,감자다시마국,미트볼조림,건멸치볶음,배추김치",400,400,"빈달루커리,달걀파국,배추김치,닭다리살오븐구이,키위",400,380,"차조밥,아욱장국,돈육매콤갈비찜,도라지무침,배추김치"
2018-10-18,180,115,"촉촉한치즈케익,콘프레이크,우유,소시지샐러드,사과",400,405,"흰밥,미역장국,마늘삼겹구이,야채쌈,상추파채겉절이,배추김치",400,297,"흰밥,손만두국,어묵김치볶음,탕평채,석박지"
2018-10-19,100,55,"흰밥,북어국,떡갈비조림,브로콜리파프리카초회,배추김치",400,310,"짜장면,단무지,배추김치,양념만두,요구르트",350,243,"흰밥,부대찌개,숙주돈육볶음,매실간장마늘쫑무침,깍두기"
2018-10-20,100,31,"흑미밥,콩나물김치국,라운드햄구이,김파래자반,배추김치",250,187,"참치마요덮밥,유부팽이장국,배추김치,푸실리야채샐러드,화인쿨",250,173,"흑미밥,도토리무국,고등어무조림,달걀말이,석박지"
2018-10-21,120,56,"닭죽,모듬장아찌,배추김치,바나나,곡물럭키바",250,176,"보리밥,감자탕,어묵채볶음,가지나물,깍두기",250,235,"보리밥,청국장찌개,돈육고추장불고기,시금치무침,배추김치"
2018-10-22,100,71,"흰밥,무채장국,메추리알장조림,김구이,배추김치",400,347,"잡채덮밥,짬뽕국,단무지무침,배추김치,군만두",400,398,"흰밥,콩나물김치국,돈가스,아삭고추쌈장무침,깍두기"
2018-10-23,100,75,"흑미밥,떡국,오징어야채볶음,깻잎지,배추김치",400,410,"흑미밥,미역장국,보쌈,야채쌈,막국수야채무침,배추김치",400,392,"흰밥,얼큰쇠고기무국,치즈인치킨까스,참나물무침,배추김치"
2018-10-24,180,111,"식빵,딸기잼,크래놀라,우유,스크램블에그,과일샐러드",400,360,"차조밥,장각삼계탕,야채스틱,콩나물부추무침,깍두기",400,368,"차조밥,감자다시마국,오삼불고기,양배추쌈,오이도라지무침,배추김치"
2018-10-25,100,72,"흰밥,콩가루배추장국,달걀말이,가자미조림,배추김치",400,378,"미트볼스파게티,양송이스프,오이피클,배추김치,갈릭파이",400,365,"흰밥,꼬치어묵국,닭갈비,브로콜리파프리카초회,배추김치"
2018-10-26,100,78,"차조밥,표고버섯달걀국,참치김치볶음,두부구이,깍두기",400,320,"훈제오리볶음밥,양파달걀국,배추김치,소떡소떡,청포도맛주스",350,220,"차조밥,순대해장국,코다리살강정,시금치고추장무침,깍두기"
2018-10-27,100,52,"단호박죽,바나나,견과류,배추김치,사과주스",400,225,"흑미밥,된장찌개,파채닭강정,근대무침,배추김치",350,220,"흑미밥,들깨미역국,돈갈비묵은지찜,탕평채,깍두기"
2018-10-30,150,138,"모닝빵샌드위치,콘프레이크,우유,바나나,견과류",400,380,"흑미밥,쇠고기미역국,오리주물럭,무쌈,근대나물무침,배추김치",400,310,"흑미밥,감자다시마국,순대볶음,삼색묵무침,배추김치"
2018-10-31,100,117,"흰밥,닭곰탕,깐쇼새우칠리,매실간장마늘쫑무침,깍두기",430,430,"뉴욕핫도그,브로콜리스프,감자튀김,케첩,탄산음료,귤",400,350,"차조밥,배추장국,보쌈,야채쌈,무말랭이,배추겉절이"
2018-11-01,100,75,"흰밥,조랭이떡국,달걀말이,진미채고추장볶음,깍두기",400,388,"빈달루커리,미소된장국,단무지,배추김치,슈퍼슈프림피자",400,282,"흰밥,돈육김치찌개,파채올린바싹불고기,청경채무침,배추김치"
2018-11-02,100,52,"차조밥,사골국,김치어묵볶음,김파래자반,깍두기",300,220,"쇠고기볶음밥,우동맛국,배추김치,불닭교자만두,사과",300,140,"차조밥,오색감자옹심이,통살가득보리멸까스,도라지무침,배추김치"
2018-11-03,100,40,"흑미밥,표고버섯달걀국,라운드햄구이,콩나물무침,배추김치",300,119,"마파두부덮밥,팽이유부장국,배추김치,피망잡채,꽃빵,화인쿨",300,120,"흑미밥,꽃게된장찌개,닭날개데리야끼조림,아삭고추쌈장무침,배추김치"
2018-11-05,100,76,"흰밥,호박고추장찌개,연두부,양념간장,동그랑땡달걀전,배추김치",380,331,"흰밥,무채장국,매콤수육,야채쌈,상추파채겉절이,배추김치",380,378,"흰밥,수제비국,불닭볶음우동,시금치무침,배추김치"
2018-11-06,90,79,"흑미밥,꽃게된장찌개,돈육메추리알조림,숙주미나리무침,배추김치",380,370,"콩나물밥,팽이유부장국,배추김치,닭다리살오븐구이,청포도에이드",380,360,"흑미밥,부대찌개,두부커틀릿,골뱅이야채무침,깍두기"
2018-11-07,150,125,"메이플피칸파이,그레놀라,우유,치킨샐러드,사과",380,365,"찹쌀잡곡밥,쇠고기미역국,돈갈비김치찜,오징어젓갈,배추김치",380,307,"흰밥,닭개장,비엔나야채무침,고등어조림,배추김치"
2018-11-08,80,54,"보리밥,쇠고기무국,참치김치볶음,달걀후라이,깍두기",380,320,"보리밥,설렁탕,소면사리,어묵채볶음,아삭고추쌈장무침,깍두기",380,241,"보리밥,근대된장국,쭈꾸미불고기,미역줄기초무침,배추김치"
2018-11-09,80,56,"차조밥,배추장국,훈제오리볶음,모듬장아찌,깍두기",300,250,"날치알김치볶음밥,감자다시마국,배추김치,타코야끼,요구르트",300,213,"차조밥,도토리묵국,닭갈비,오징어부추전,배추김치"
2018-11-10,80,62,"크로와상,생크림,오곡체크책스,우유,꽃맛살샐러드,바나나",200,167,"자장밥,짬뽕국,단무지,배추김치,고구마맛탕",200,147,"흑미밥,조랭이떡국,오삼불고기.양배추쌈,진미채도라지무침,배추김치"
2018-11-11,80,24,"흰밥,콩나물김치국,생선커틀릿,소스,김구이,깍두기",200,131,"흰밥,떡국,함박스테이크,무말랭이무침,배추김치",200,127,"흰밥,느타리버섯찌개,꽁치구이,와사비간장,감자햄볶음,배추김치"
2018-11-12,90,78,"흰밥,북어국,달걀찜,콩나물무침,배추김치",400,384,"스팸마요덮밥,미소된장국,배추김치,양상추샐러드,소떡소떡",380,329,"흰밥,들깨무채국,제육볶음,김구이,배추김치"
2018-11-13,90,80,"흑미밥,닭곰국,감자볶음,진미채볶음,깍두기",380,347,"흑미밥,순대국,콩나물당면볶음,브로콜리파프리카초회,배추김치",370,335,"흑미밥,만두국,오리주물럭,무쌈,견과류멸치볶음,배추김치"
2018-11-14,140,132,"식빵,딸기잼,초코첵스,우유,브로콜리스프,과일샐러드",400,382,"카레라이스,양파달걀국,단무지,배추김치,바비큐폭립",350,299,"흰밥,감자고추장찌개,닭갈비,호박부추전,배추김치"
2018-11-15,90,65,"보리밥,새알심만두국,쇠고기메추리알조림,무말랭이무침,배추김치",390,348,"보리밥,쇠고기미역국,통살치킨볼강정,오이도라지무침,배추김치",320,265,"보리밥,짬뽕순두부국,파채떡갈비,시금치고추장무침,배추김치"
2018-11-16,80,57,"차조밥,김치콩나물국,칠리새우,아삭고추쌈장무침,배추김치",300,298,"크림스파게티,오이피클,배추김치,푸실리야채샐러드,갈릭파이",250,194,"차조밥,육개장,양파크런치탕수어,어묵김치볶음,깍두기"
2018-11-17,50,64,"아몬드머핀,아몬드후레이크,우유,마카로니콘샐러드,귤",200,156,"김밥볶음밥,우동맛국,배추김치,떡볶음,김말이튀김",180,160,"흑미밥,참치김치찌개,오꼬노미돈가스,매실간장마늘쫑무침,깍두기"
2018-11-18,80,52,"흰밥,오징어찌개,라운드램구이,깻잎지,배추김치",200,189,"튀김새우우동,단무지,배추김치,바나나,팝콘",200,192,"흰밥,아욱장국,매콤돈갈비찜,숙주미나리무침,배추김치"
2018-11-19,100,77,"흰밥,쇠고기무국,비엔나케첩조림,청경채무침,깍두기",400,380,"흰밥,미역장국,보쌈,야채쌈,배추겉절이,무말랭이무침",390,350,"흰밥,김치찌개,파닭,오이도라지무침,깍두기"
2018-11-20,100,93,"흑미밥,된장찌개,수랏간고기말이,애호박볶음,배추김치",400,402,"데미커리,미소장국,단무지,배추김치,슈퍼슈프림피자",390,378,"흑미밥,들깨무채국,쭈꾸미삼겹살볶음,근대나물,배추김치"
2018-11-21,140,106,"감자샌드위치,그래놀라,우유,양송이스프,귤",400,342,"흰밥,오색떡국,숙주돈육볶음,쪽파무침,배추김치",390,212,"흰밥,돼지국밥,미트볼조림,삼색묵무침,깍두기"
2018-11-22,80,36,"보리밥,표고버섯달걀국,오징어볶음,연두부,양념간장,배추김치",300,190,"훈제오리볶음밥,양파달걀국,배추김치,고구마맛탕,식혜",280,129,"보리밥,김치콩나물국,순대야채볶음,미역줄기초무침,깍두기"
2018-11-23,80,16,"차조밥,배추장국,어묵김치볶음,달걀말이,깍두기",200,135,"참치마요덮밥,팽이유부장국,배추김치,메밀전병,요구르트",200,157,"차조밥,쇠고기우거지국,맛쵸킹탕수육,열무나물,배추김치"
2018-11-24,60,34,"흰밥,감자다시마국,오리불고기,쌈무,모듬장아찌,배추김치",150,125,"날치알김치볶음밥,우동맛국,깍두기,만두그라탕,화인쿨",150,78,"흑미밥,육개장,임연수구이,콩나물무침,배추김치"
2018-11-25,80,30,"메이플피칸파이,초코첵스,우유,꽃맛살샐러드,바나나",200,90,"흰밥,감자탕,부들어묵볶음,시금치고추장무침,깍두기",200,120,"흰밥,해물된장찌개,돈육김치찜,김구이,깍두기"
2018-11-26,90,72,"흰밥,어묵국,동그랑땡,케첩,매실간장마늘쫑무침,배추김치",380,362,"돈가스덮밥,연두부미소장국,배추김치,단무지,귤",380,341,"흰밥,도토리묵국,닭갈비,막국수야채무침,배추김치"
2018-11-27,140,125,"후르츠생크림모닝빵,크래놀라,우유,바나나,견과류",400,382,"햄야채볶음밥,양파달걀국,배추김치,멕시칸함박스테이크,요구르트",350,302,"흑미밥,쇠고기미역국,돈갈비찜,청경채무침,배추김치"
2018-11-29,90,72,"보리밥,시금치장국,꽁치김치찜,메추리알장조림,깍두기",450,408,"새우미니핫도그,브로콜리스프,탄산음료,감자튀김,야채샐러드",350,235,"보리밥,삼색수제비국,마파두부,쇠고기잡채,배추김치"
2018-11-29,90,72,"보리밥,시금치장국,꽁치김치찜,메추리알장조림,깍두기",450,408,"새우미니핫도그,브로콜리스프,탄산음료,감자튀김,야채샐러드",350,235,"보리밥,삼색수제비국,마파두부,쇠고기잡채,배추김치"
2018-11-30,80,51,"차조밥,청국장찌개,돈육고추장찌개,콩나물무침,배추김치",250,255,"참치야채비빔밥,들개무채국,배추겉절이,밤찐빵,요구르트",200,195,"차조밥,짬뽕순두부국,닭다리살오븐구이,아삭고추쌈장무침,배추김치"
2018-12-01,60,30,"흰밥,새알심만두국,라운드햄구이,깻잎지,배추김치",180,149,"김밥볶음밥,우동맛국,배추김치,떡볶음,순대",180,137,"흑미밥,표고버섯달걀국,쇠고기납작당면볶음,골뱅이야채무침,배추김치"
2018-12-02,80,54,"프렌치토스트,우유,아몬드후레이크,푸실리야채샐러드,귤",200,152,"흰밥,닭곰국,두부커틀릿,진미채도라지무침,깍두기",200,189,"흰밥,된장찌개,오삼불고기,양배추쌈,무말랭이무침,배추김치"
2018-12-03,90,61,"흰밥,북어국,어묵김치볶음,달걀후라이,깍두기",380,378,"흰밥,미역장국,매콤수육,야채쌈,양파부추무침,배추김치",380,343,"흰밥,콩나물김치국,맛초킹탕수육,김구이,배추김치"
2018-12-04,170,120,"아몬드머핀,우유,초코첵스,케이준샐러드,귤",400,361,"흑미밥,설렁탕,부들어묵볶음,아삭고추쌈장무침,깍두기",370,367,"흑미밥,들깨무채국,닭갈비,멸치볶음,배추김치"
2018-12-05,100,76,"흰밥,오색떡국,비엔나케첩조림,갈치구이,배추김치",390,328,"흰밥,쇠고기미역국,돈갈비묵은지찜,숙주나물무침,깍두기",360,308,"흰밥,부대찌개,통살가득보리멸까스,막국수야채무침,배추김치"
2018-12-06,90,50,"보리밥,오징어찌개,쇠고기메추리알조림,감자채볶음,깍두기",390,385,"크림스파게티,오이피클,배추김치,푸실리야채샐러드,갈릭파이",320,248,"보리밥,호박고추장찌개,쭈꾸미삼겹살볶음,미역줄기초무침,배추김치"
2018-12-07,80,50,"차조밥,표고버섯달걀국,순대볶음,오이무침,배추김치",350,330,"쇠고기볶음밥,짬뽕국,배추김치,우리밀씨앗호떡,식혜",280,262,"차조밥,참치김치찌개,치즈인치킨까스,양배추샐러드,무말랭이무침"
2018-12-08,80,42,"흑미밥,아욱장국,칠리새우,진미채고추장볶음,배추김치",180,195,"오므라이스,우동맛국,배추김치,빨간꼬치어묵,화인쿨",200,168,"흑미밥,감자다시마국,치즈인치킨까스,양배추샐러드,무말랭이무침"
2018-12-09,80,41,"닭죽,오징어젓갈,배추김치,바나나,두유",200,191,"카레밥,양파달걀국,단무지,배추김치,치즈떡볶이",200,190,"흰밥,쇠고기우거지국,파채떡갈비,시금치고추장무침,배추김치"
2018-12-10,90,72,"흰밥,돈육김치찌개,연두부,양념간장,콩나물무침,깍두기",380,387,"치킨마요덮밥,팽이유부장국,단무지무침,배추김치,소떡소떡",380,320,"흰밥,물만두국,파채돈육볶음,근대나물,배추김치"
2018-12-11,90,98,"흑미밥,쇠고기무국,참치김치볶음,오꼬노미달걀말이,깍두기",400,410,"흑미밥,건새우아욱장국,마늘삼겹구이,야채쌈,상추파채무침,배추겉절이",370,310,"흑미밥,들깨미역국,치즈불닭,탕평채,배추김치"
2018-12-12,140,137,"메이플피칸파이,그래놀라,우유,케이준샐러드,바나나",390,347,"김밥볶음밥,양파달걀국,배추김치,떡볶음,고추스틱만두",360,295,"흰밥,돈등뼈감자탕,부들어묵볶음,매실간장마늘쫑무침,깍두기"
2018-12-13,80,38,"보리밥,연두부달걀국,미트볼야채조림,애호박새우젓볶음,배추김치",400,375,"보리밥,장각삼계탕,오징어김치전,꽈리고추찜,깍두기",320,278,"보리밥,꽃게된장찌개,순대볶음,맛살숙주무침,배추김치"
2018-12-14,80,57,"차조밥,김치콩가루국,훈제오리볶음,쌈무,양파부추무침,배추김치",350,325,"차조밥,미역장국,매콤갈비찜,사천식잡채,배추김치",320,191,"차조밥,짬뽕순두부국,가자미구이,매콤감자볶음,배추김치"
2018-12-15,80,32,"흑미밥,조랭이떡국,동그랑땡,케첩,골뱅이야채무침,배추김치",200,206,"콩나물밥,근대장국,배추김치,고등어조림,미니쌀찐빵",200,246,"흑미밥,참치김치찌개,파닭,미역줄기초무침,배추김치"
2018-12-16,100,73,"미니크로와상,생크림,아몬드후레이크,우유,소시지야채샐러드,귤",200,244,"해물자장밥,감자다시마국,배추김치,단무지,양념만두",200,268,"흰밥,닭곰탕,떡갈비조림,깻잎지,배추김치"
2018-12-17,80,87,"흰밥,어묵탕,라운드햄구이,멸치견과류볶음,배추김치",380,355,"흰밥,건새우아욱장국,매콤수육,야채쌈,상추파채무침,배추김치",380,385,"흰밥,순대국,안동찜닭,무말랭이무침,배추김치"
2018-12-18,90,75,"흑미밥,순두부찌개,오징어볶음,달걀후라이,배추김치",400,370,"스팸마요덮밥,미소장국,모듬장아찌,배추김치,전병",370,285,"흑미밥,들깨무채국,쇠고기당면볶음,진미채도라지무침,배추김치"
2018-12-19,140,110,"후르츠생크림모닝빵,초코첵스,우유,바나나,견과류",400,340,"카레밥,부추달걀국,단무지,배추김치,바비큐폭립",360,320,"흰밥,도토리묵국,닭갈비,막국수야채무침,배추김치"
2018-12-20,90,60,"보리밥,쇠고기무국,동그랑땡,케첩,매실간장마늘쫑무침,배추김치",370,320,"훈제오리볶음밥,미역장국,배추김치,스위트콘치킨샐러드,사과주스",340,260,"보리밥,참치김치찌개,오꼬노미돈가스,아삭고추쌈장무침,배추김치"
2018-12-24,80,40,"흰밥,떡국,어묵김치볶음,명엽채간장조림,깍두기",200,156,"자장밥,달걀파국,배추김치,단무지,양념만두",200,80,"흰밥,들깨미역국,오리주물럭,쌈무,양파부추무침,배추김치"
2018-12-25,80,25,"흑미밥,시금치장국,칠리새우,라운드햄구이,깍두기",200,90,"크림스파게티,오이피클,배추김치,푸실리야채샐러드,갈릭파이",200,80,"흑미밥,참치김치찌개,닭다리살오븐구이,콩나물무침,배추김치"
2018-12-26,100,30,"아몬드머핀,초코첵스,우유,마카로니샐러드,귤",200,70,"쇠고기볶음밥,우동맛국,배추김치,새우튀김,소스,식혜",100,26,"흰밥,미역장국,삼겹살고추장볶음,달걀말이,배추김치"
